apartment_address,apt_lat,apt_lon,nearest_supermarket_id,supermarket_brand,sm_lat,sm_lon,distance_meters
"Freudenbergstrasse, 8044 Zürich, ZH",47.37955474853516,8.559854507446289,995471959,Migros,47.3793846,8.5594679,35.16
"Mitteldorfstrasse 27, 8475 Ossingen, ZH",47.6113510131836,8.726527214050293,469723663,Volg,47.6111515,8.7261239,37.46
"Rainstrasse 80, 8712 Stäfa, ZH",47.248626708984375,8.720181465148926,124140239,ALDI,47.2414948,8.7183709,612.57
"Keltenstrasse 12, 8044 Zürich, ZH",47.37654876708984,8.561196327209473,265776668,Coop,47.376417,8.5595945,133.8
"Hirschweg 9, 8405 Winterthur, ZH",47.48258209228516,8.768205642700195,1519474175,Denner,47.4851713,8.7631961,469.46
"Neunfornerstrasse 4, 8479 Altikon, ZH",47.57373428344727,8.781241416931152,5677095221,Volg,47.5549718,8.7693857,1847.68
"Binzstr. 41, 8620 Wetzikon ZH, ZH",47.329345703125,8.800528526306152,2757540857,Migros,47.3280334,8.7997978,125.04
"Müliwiesstrasse 71, 8487 Zell ZH, ZH",47.442684173583984,8.820551872253418,4706346083,,47.4280787,8.816162,1269.64
"Leigass 7, 8820 Wädenswil, ZH",47.2255859375,8.672236442565918,7804887261,Volg,47.2274892,8.6699861,245.36
"Hagenholzstrasse 59, 8050 Zürich, ZH",47.41465759277344,8.555407524108887,1052078781,ALDI,47.4193147,8.5568084,404.86
"Im Rebacher 10, 8118 Pfaffhausen, ZH",47.3621940612793,8.621418952941895,3385707906,,47.3608801,8.6330748,976.5
"Forchstrasse 150, 8032 Zürich, ZH",47.360294342041016,8.564233779907227,4857382066,,47.3604083,8.5633792,71.77
"Wartstr. 30, 8400 Winterthur, ZH",47.50136947631836,8.72093677520752,4125136758,,47.5007321,8.7201688,83.08
"Am Eulachpark 25, 8404 Winterthur, ZH",47.506324768066406,8.763714790344238,4471606823,,47.5037951,8.770855,630.63
"Pfingstweidstrasse 98, 8005 Zürich, ZH",47.39064025878906,8.51033878326416,4827131027,Migros-Outlet,47.3900789,8.5087002,144.2
"Wolfgrabenstrasse 15c, 8135 Langnau am Albis, ZH",47.285430908203125,8.530309677124023,861795391,Denner,47.2911866,8.5377315,781.89
"Eilweg 8, 8634 Hombrechtikon, ZH",47.24886322021485,8.772636413574219,623872888,Migros,47.2519351,8.7695926,360.01
"Katharina Sulzer Platz 2, 8400 Winterthur, ZH",47.496612548828125,8.718550682067871,4095400136,Denner,47.4988568,8.7203601,239.99
"Mühlebachstr. 28, 8008 Zürich, ZH",47.3648567199707,8.550126075744629,4880906388,,47.363156,8.549921,142.61
"Dättlikonerstrasse 4, 8422 Pfungen, ZH",47.51786804199219,8.638663291931152,7380954135,Migros,47.5173965,8.6498136,929.09
"Wechselächerstrasse 41, 8103 Unterengstringen, ZH",47.411895751953125,8.441164016723633,3626567398,ALDI,47.4001072,8.4415788,982.0
"Vulkanstrasse 110c, 8048 Zürich, ZH",47.39374923706055,8.484014511108398,6307458232,,47.393543,8.4839444,18.13
"Wehntalerstrasse 38, 8157 Dielsdorf, ZH",47.48212432861328,8.453387260437012,427706514,Volg,47.4813558,8.4538601,75.12
"8004 Zürich, ZH",47.3746452331543,8.523855209350586,310789073,Denner,47.3748981,8.5234086,42.73
"Brunnenwiesenstrasse 15, 8105 Regensdorf, ZH",47.42833709716797,8.480559349060059,316822599,Coop,47.4372358,8.4746548,889.06
